"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"05","ANTIOQUIA","05361","ITUANGO","134.7","130.0","200.0","135.0","161.0","76.0","45.0","228.0","250.0","16.0","82.0","138.0","27.0","108.0","41.4","305.2","865.6","882.7","724.5","967,3","1,414.2","1,213.2","1,471.3"
"05","ANTIOQUIA","05425","MACEO","8.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05475","MURINDÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","6.0","- 0","3.0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","1.5","8,1","46.1","69.2","176.3"
"05","ANTIOQUIA","05480","MUTATÁ","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","7.0","- 0","10.0","4.0","- 0","1.2","- 0","6.7","3.5","1.2","1,1","6.0","10.0","31.0"
"05","ANTIOQUIA","05483","NARIÑO","- 0","- 0","2.0","8.0","1.0","94.0","32.0","17.0","61.0","29.0","66.0","3.0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05495","NECHÍ","15.7","57.0","125.0","195.0","365.0","335.0","1,085.0","328.0","235.0","119.0","210.0","173.0","28.0","39.0","128.4","360.9","551.5","708.0","530.4","551,1","365.5","277.9","380.4"
"05","ANTIOQUIA","05490","NECOCLÍ","- 0","- 0","78.0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05579","PUERTO BERRÍO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","2.0","- 0","- 0","3.0","2.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05585","PUERTO NARE","- 0","- 0","- 0","7.0","2.0","35.0","44.0","45.0","2.0","17.0","22.0","5.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05591","PUERTO TRIUNFO","- 0","- 0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05604","REMEDIOS","443.3","534.0","331.0","193.0","202.0","265.0","142.0","154.0","121.0","85.0","86.0","29.0","3.0","5.0","4.0","10.4","24.7","45.4","39.3","38,9","129.4","118.9","115.9"
"05","ANTIOQUIA","05628","SABANALARGA","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05649","SAN CARLOS","1.0","- 0","- 0","- 0","- 0","38.0","23.0","17.0","45.0","13.0","44.0","48.0","3.0","3.0","1.4","1.8","- 0","- 0","- 0","0","1.2","1.4","1.8"
"05","ANTIOQUIA","05652","SAN FRANCISCO","22.9","- 0","17.0","- 0","27.0","137.0","79.0","235.0","71.0","139.0","129.0","47.0","31.0","23.0","29.5","15.5","14.0","28.8","14.1","13,8","30.6","48.5","64.2"
"05","ANTIOQUIA","05660","SAN LUIS","13.0","- 0","18.0","- 0","83.0","197.0","102.0","271.0","182.0","37.0","114.0","21.0","11.0","12.0","8.3","8.2","4.6","8.9","1.7","2,1","9.1","23.0","22.1"
"05","ANTIOQUIA","05665","SAN PEDRO DE URABÁ","- 0","- 0","8.0","- 0","- 0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","5.3","4.6","3.5","2.7","1.1","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05667","SAN RAFAEL","9.2","- 0","- 0","- 0","- 0","2.0","- 0","8.0","17.0","- 0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05670","SAN ROQUE","92.0","2.0","- 0","- 0","- 0","- 0","- 0","3.0","- 0","2.0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05686","SANTA ROSA DE OSOS","3.9","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05736","SEGOVIA","211.6","355.0","58.0","152.0","403.0","604.0","436.0","307.0","305.0","316.0","202.0","98.0","19.0","38.0","58.1","143.9","191.9","306.6","198.3","200,1","226.9","262.7","244.7"
"05","ANTIOQUIA","05756","SONSÓN","1.0","- 0","55.0","25.0","41.0","84.0","25.0","70.0","16.0","45.0","44.0","10.0","10.0","3.0","2.7","2.3","- 0","- 0","- 0","0","2.6","3.9","11.0"
"05","ANTIOQUIA","05790","TARAZÁ","684.2","337.0","537.0","1,163.0","1,402.0","1,105.0","1,663.0","931.0","773.0","986.0","635.0","495.0","338.0","842.0","884.6","2,797.3","3,803.7","3,728.4","2,061.7","2.465,7","3,531.3","3,244.9","3,768.4"
"05","ANTIOQUIA","05819","TOLEDO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","3.4","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05837","TURBO","- 0","- 0","151.0","21.0","- 0","- 0","- 0","8.0","26.0","12.0","- 0","17.0","35.0","18.0","45.4","98.0","61.0","56.8","54.5","46,1","43.0","84.6","92.9"
"05","ANTIOQUIA","05842","URAMITA","3.6","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05847","URRAO","- 0","- 0","- 0","14.0","- 0","1.0","3.0","- 0","- 0","22.0","32.0","17.0","5.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"05","ANTIOQUIA","05854","VALDIVIA","124.2","50.0","157.0","431.0","467.0","426.0","1,027.0","409.0","422.0","134.0","199.0","76.0","32.0","298.0","189.6","1,620.8","2,899.4","2,623.5","2,360.1","2.833,7","4,105.4","4,516.6","4,726.9"
"05","ANTIOQUIA","05858","VEGACHÍ","66.4","74.0","75.0","49.0","38.0","25.0","58.0","22.0","20.0","- 0","7.0","10.0","- 0","1.0","- 0","- 0","36.5","42.3","31.6","27,4","108.6","78.6","57.0"
"05","ANTIOQUIA","05873","VIGÍA DEL FUERTE","- 0","- 0","- 0","3.0","- 0","- 0","- 0","- 0","1.0","- 0","13.0","- 0","7.0","3.0","- 0","- 0","- 0","- 0","- 0","0","- 0","8.8","20.7"
"05","ANTIOQUIA","05885","YALÍ","89.8","47.0","46.0","27.0","22.0","- 0","53.0","- 0","6.0","- 0","- 0","- 0","- 0","10.0","12.4","17.7","52.3","58.3","31.0","40,4","77.7","45.0","36.3"
"05","ANTIOQUIA","05887","YARUMAL","2.0","2.0","- 0","68.0","6.0","17.0","8.0","- 0","9.0","2.0","3.0","- 0","1.0","13.0","3.2","40.0","93.9","87.6","71.0","79,7","113.8","125.1","145.3"
"05","ANTIOQUIA","05890","YOLOMBÓ","71.9","7.0","17.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","1.4","4.7","13.3","23.4","1.4","3,9","9.9","16.2","12.6"
"05","ANTIOQUIA","05893","YONDÓ (Casabe)","0.7","59.0","85.0","86.0","88.0","13.0","31.0","239.0","153.0","- 0","69.0","8.0","- 0","3.0","3.1","- 0","4.6","6.5","14.7","8,7","10.7","17.9","19.1"
"05","ANTIOQUIA","05895","ZARAGOZA","281.8","399.0","505.0","416.0","600.0","400.0","1,611.0","495.0","240.0","384.0","49.0","252.0","12.0","24.0","66.8","160.9","346.9","471.2","346.4","686","807.2","682.5","749.4"
"81","ARAUCA","81065","ARAUQUITA","1,325.1","1,647.0","293.8","939.0","1,165.0","775.0","1,090.0","205.0","200.0","123.0","42.0","58.0","44.0","16.0","9.1","6.3","116.6","7.4","- 0","0","- 0","- 0","- 0"
"81","ARAUCA","81300","FORTUL","265.8","165.0","71.3","252.0","249.0","158.0","519.0","39.0","72.0","46.0","24.0","5.0","3.0","3.0","1.2","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"81","ARAUCA","81591","PUERTO RONDÓN","44.0","34.0","- 0","10.0","36.0","50.0","18.0","15.0","8.0","3.0","2.0","- 0","1.0","2.0","1.9","- 0","4.6","- 0","- 0","0","- 0","- 0","- 0"
"81","ARAUCA","81736","SARAVENA","138.3","55.0","76.5","98.0","184.0","126.0","192.0","92.0","34.0","15.0","15.0","5.0","4.0","1.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"81","ARAUCA","81794","TAME","396.2","314.0","96.4","253.0","249.0","197.0","297.0","96.0","103.0","60.0","50.0","14.0","17.0","4.0","4.9","2.6","- 0","- 0","- 0","0","- 0","- 0","- 0"
"13","BOLÍVAR","13006","ACHÍ","1.0","- 0","- 0","- 0","3.0","- 0","20.0","- 0","14.0","60.0","5.0","12.0","1.0","6.0","3.8","9.1","12.5","12.5","8.2","5,7","4.9","9.3","28.9"
"13","BOLÍVAR","13030","ALTOS DEL ROSARIO","- 0","- 0","37.3","43.0","58.0","18.0","57.0","43.0","67.0","6.0","16.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","5.3","15.5"
"13","BOLÍVAR","13042","ARENAL","53.4","71.0","194.0","109.0","150.0","67.0","221.0","117.0","182.0","114.0","57.0","38.0","16.0","56.0","10.6","18.7","21.4","2.5","19.1","35,6","104.6","123.5","142.8"
"13","BOLÍVAR","13074","BARRANCO DE LOBA","- 0","- 0","51.3","53.0","82.0","29.0","63.0","31.0","68.0","22.0","16.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","45.0","60.6"
"13","BOLÍVAR","13160","CANTAGALLO","1,063.4","446.0","511.0","229.0","333.0","127.0","485.0","909.0","727.0","312.0","255.0","198.0","57.0","125.0","44.9","398.5","600.5","728.9","645.5","811,7","1,258.5","1,145.3","1,146.7"
"13","BOLÍVAR","13268","EL PEÑÓN","- 0","- 0","- 0","2.1","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"13","BOLÍVAR","13458","MONTECRISTO","103.1","45.0","231.0","287.0","255.0","237.0","1,239.0","734.0","679.0","709.0","535.0","234.0","163.0","279.0","214.1","522.1","510.9","716.5","635.2","576,6","688.0","616.2","849.0"
"13","BOLÍVAR","13473","MORALES","184.4","64.0","145.0","78.0","115.0","152.0","285.0","156.0","163.0","300.0","55.0","98.0","19.0","100.0","36.4","167.7","208.6","234.2","154.8","148,8","318.3","197.4","191.4"
"13","BOLÍVAR","13490","NOROSI","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","6.0","14.0","21.0","11.7","15.8","8.8","13.5","4.8","13,3","82.7","165.9","240.4"
"13","BOLÍVAR","13600","RIOVIEJO","194.5","166.0","288.0","242.0","323.0","178.0","357.0","230.0","276.0","163.0","66.0","15.0","9.0","23.0","11.5","8.2","15.1","2.1","18.4","66","100.2","143.6","151.3"
"13","BOLÍVAR","13655","SAN JACINTO DEL CAUCA","- 0","5.0","23.0","40.0","47.0","82.0","130.0","193.0","101.0","33.0","132.0","25.0","18.0","18.0","64.4","136.1","161.5","233.8","200.3","172,3","169.0","167.5","162.2"
"13","BOLÍVAR","13667","SAN MARTÍN DE LOBA","- 0","- 0","67.5","180.0","176.0","67.0","144.0","77.0","114.0","82.0","17.0","- 0","- 0","1.0","- 0","- 0","4.3","4.1","2.9","2,8","2.5","17.5","16.3"
"13","BOLÍVAR","13670","SAN PABLO","1,189.7","614.0","1,105.0","756.0","638.0","334.0","579.0","1,529.0","742.0","376.0","384.0","544.0","225.0","258.0","229.5","1,255.5","2,300.4","3,315.5","2,832.4","3.218,3","3,972.8","3,471.0","3,339.6"
"54","NORTE DE SANTANDER","54820","TOLEDO","80.1","9.0","8.9","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"13","BOLÍVAR","13688","SANTA ROSA DEL SUR","1,907.4","996.0","1,336.0","925.0","1,152.0","810.0","958.0","1,319.0","1,083.0","745.0","264.0","526.0","336.0","488.0","307.3","968.4","1,437.1","2,009.2","1,912.6","2.468","2,515.2","2,087.0","2,103.8"
"13","BOLÍVAR","13744","SIMITÍ","1,382.2","321.0","410.0","388.0","188.0","174.0","581.0","374.0","319.0","132.0","131.0","166.0","54.0","92.0","69.7","508.1","781.0","1,206.3","1,443.3","1.652,3","2,011.1","1,760.3","1,743.1"
"13","BOLÍVAR","13810","TIQUISIO (Puerto Rico)","61.5","7.0","72.0","69.0","150.0","107.0","513.0","135.0","242.0","270.0","274.0","106.0","13.0","98.0","39.2","86.2","117.0","134.5","87.7","201,9","286.7","413.4","578.9"
"15","BOYACÁ","15212","COPER","- 0","3.0","3.0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15223","CUBARÁ","47.3","6.0","8.0","- 0","- 0","- 0","- 0","8.0","4.0","7.0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15401","LA VICTORIA","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15442","MARIPÍ","- 0","14.0","25.0","10.0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15480","MUZO","- 0","1.0","39.0","11.0","2.0","13.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15507","OTANCHE","6.7","23.0","140.7","84.0","101.0","142.0","52.0","120.0","106.0","30.0","47.0","8.0","6.0","4.0","4.6","- 0","- 0","2.8","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15531","PAUNA","1.0","10.0","22.0","10.0","14.0","54.0","- 0","- 0","- 0","- 0","- 0","- 0","3.0","3.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15572","PUERTO BOYACÁ","28.5","43.0","309.0","215.0","206.0","197.0","22.0","65.0","56.0","68.0","38.0","2.0","8.0","5.0","3.2","15.0","22.0","13.7","4.2","6,4","18.0","47.3","53.7"
"15","BOYACÁ","15580","QUÍPAMA","- 0","3.0","27.0","15.0","10.0","6.0","- 0","- 0","6.0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15681","SAN PABLO DE BORBUR","- 0","15.0","19.0","13.0","9.0","20.0","5.0","4.0","10.0","- 0","8.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15696","SANTA SOFÍA","- 0","- 0","1.3","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"15","BOYACÁ","15832","TUNUNGUÁ","- 0","- 0","- 0","1.1","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"17","CALDAS","17433","MANZANARES","- 0","- 0","0.8","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"17","CALDAS","17495","NORCASIA","- 0","- 0","43.0","313.0","46.0","51.0","28.0","39.0","38.0","8.0","9.0","8.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"17","CALDAS","17541","PENSILVANIA","- 0","- 0","- 0","1.1","7.5","14.0","7.0","12.0","2.0","7.0","7.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"17","CALDAS","17662","SAMANÁ","- 0","- 0","9.9","41.0","132.0","380.0","21.0","136.0","127.0","30.0","30.0","8.0","8.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"17","CALDAS","17867","VICTORIA","- 0","- 0","- 0","3.0","4.0","16.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"18","CAQUETÁ","18029","ALBANIA","180.0","125.0","122.0","698.0","149.0","106.0","61.0","10.0","12.0","7.0","7.0","2.0","7.0","18.0","32.5","53.6","63.3","61.9","30.1","37,2","58.2","94.1","123.9"
"18","CAQUETÁ","18094","BELÉN DE LOS ANDAQUÍES","40.0","64.0","135.0","112.0","157.0","132.0","30.0","185.0","63.0","79.0","193.0","89.0","85.0","92.0","132.0","147.2","201.4","303.9","110.2","0","13.3","120.5","95.7"
"18","CAQUETÁ","18150","CARTAGENA DEL CHAIRÁ","5,930.5","3,989.0","1,990.0","1,203.0","1,836.0","1,674.0","1,916.0","1,374.0","781.0","603.0","409.0","456.0","703.0","1,050.0","948.6","1,188.0","1,369.2","1,006.7","416.3","251,7","304.4","433.9","549.3"
"18","CAQUETÁ","18205","CURILLO","754.1","581.0","202.0","252.0","253.0","265.0","283.0","44.0","114.0","125.0","69.0","188.0","208.0","259.0","459.5","368.2","471.3","342.8","227.6","110,4","257.2","344.7","407.7"
"18","CAQUETÁ","18247","EL DONCELLO","41.0","3.0","22.1","13.0","52.0","52.0","84.0","102.0","143.0","55.0","70.0","101.0","68.0","233.0","303.5","552.8","455.0","413.4","23.4","12,4","50.0","31.0","21.6"
"18","CAQUETÁ","18256","EL PAUJIL","149.0","3.0","12.4","30.0","29.0","32.0","88.0","39.0","66.0","31.0","112.0","99.0","114.0","240.0","267.6","415.9","951.7","704.1","147.4","54,4","157.0","208.3","210.8"
"18","CAQUETÁ","18001","FLORENCIA","- 0","24.0","69.0","90.0","6.0","4.0","19.0","14.0","10.0","9.0","105.0","31.0","25.0","31.0","52.8","98.4","218.4","268.0","58.2","12,3","41.8","25.9","13.9"
"18","CAQUETÁ","18460","MILÁN","525.9","172.0","321.0","348.0","255.0","414.0","532.0","174.0","217.0","181.0","290.0","251.0","359.0","530.0","695.7","1,040.2","1,135.5","1,226.4","461.1","252,3","283.5","497.1","526.5"
"18","CAQUETÁ","18410","MONTAÑITA","568.6","201.0","535.0","188.0","316.0","292.0","637.0","315.0","267.0","239.0","409.0","649.0","816.0","1,335.0","1,503.5","1,743.7","2,491.7","2,989.7","822.9","462","694.8","956.4","1,159.8"
"18","CAQUETÁ","18479","MORELIA","2.0","4.0","0.6","554.0","2.0","18.0","5.0","5.0","6.0","1.0","1.0","5.0","10.0","- 0","1.0","- 0","16.1","21.0","1.1","0","- 0","- 0","- 0"
"18","CAQUETÁ","18592","PUERTO RICO","118.0","246.0","384.0","279.0","91.0","143.0","191.0","458.0","429.0","148.0","316.0","219.0","207.0","354.0","415.9","545.8","1,636.0","1,454.5","224.3","12,9","44.8","65.6","45.2"
"18","CAQUETÁ","18610","SAN JOSÉ DEL FRAGUA","653.8","655.0","425.0","209.0","311.0","245.0","353.0","92.0","119.0","145.0","304.0","552.0","488.0","611.0","1,083.9","1,030.8","1,414.5","1,592.8","1,409.8","430,6","781.9","1,202.0","1,208.2"
"18","CAQUETÁ","18753","SAN VICENTE DEL CAGUÁN","1,193.1","606.0","407.0","603.0","231.0","332.0","380.0","373.0","545.0","215.0","78.0","77.0","164.0","412.0","406.8","403.3","380.9","264.0","71.3","104,6","84.6","92.4","469.5"
"18","CAQUETÁ","18756","SOLANO","2,039.9","1,067.0","1,146.0","516.0","1,015.0","808.0","1,253.0","992.0","743.0","567.0","842.0","876.0","933.0","1,269.0","1,285.1","1,577.3","763.8","825.4","447.4","281,2","713.3","1,168.7","1,446.7"
"18","CAQUETÁ","18785","SOLITA","757.9","380.0","769.0","309.0","103.0","214.0","195.0","64.0","121.0","78.0","23.0","30.0","29.0","26.0","31.6","34.6","42.2","55.2","8.8","5,2","8.5","41.8","40.8"
"18","CAQUETÁ","18860","VALPARAÍSO","832.5","292.0","690.0","1,094.0","182.0","236.0","291.0","62.0","123.0","95.0","99.0","69.0","106.0","82.0","92.4","143.5","182.5","232.0","51.7","27,6","175.2","331.7","270.4"
"19","CAUCA","19022","ALMAGUER","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
